username,password,permissions,salt,otp,email
sebastian,F6389DCFABB603DA60D5D6870BFDEA3D5FE68273AACDE93386D874AAE366DB08,STAFF,05F023CBD14697E2F537A9ED633CF51F,null,otp@hi.com
staff,54AF57FA6C4CB25B61EC1689DD683226A32E08A96C15FD367822CA8047E6E56F,STAFF,B1532C53D0D1F34FC6A43F1B4FED9D22,null,otp@hi.com
taya,266A4AF2FAE4B70D6C6A2AA708050F1D0ED85BC58A9460EB75912C1F77E39323,STAFF,3B9AB07D58F6806CBFFA2CF39210EFA3,null,otp@hi.com
tim,0B2AC9B40FC6E5C8C3231D476DAB4CF01D3BF8903D8FCCAC4F9478447A05E174,STAFF,588103BD2816E9C8E13ECB9C287B7CF3,null,tim@hi.com
a,08534780063201188AED2BD4C649627229C76CFDB6C6FAA85AC2949DCC9A10A6,ADMIN,D89D36226F3B577A95A4F77C4337144D,null,otp@hi.com
aaron,344BF0F523974ABC7486385F9AD3A7D8F682B40796F4DA0654F92D27D4D52BBF,STAFF,8CB2DE9CC96AA16E9D5C398262398306,null,otp@hi.com
admin,81888634548C3E026788F5E06B4AB2E8158779D46D5E3BDA39C077F97457D44A,ADMIN,E8EDDEA5F66258E89DB577CD4B228956,null,otp@hi.com
otp,88C2D6CA8D9D48C7311D9A86947BD53446C36CE0BEFB9332C68C02B20995D98E,ADMIN,2ECA333DCB0C9E64D8D402149BABBCAA,WIZJMPNIB2JRQMOO,otp@hi.com
bob,03D9A79E51DB249697524D7F5AEEB642713606B0E0D40455B619DC3B0C838B5E,STAFF,3C5BF34BA296DDC2E2CF06576BA96D65,null,otp@hi.com
brandon,2BFEA1F8F31C155458B6AB58618BF62731537521B24BCE760B187DA58F4EF13B,STAFF,A6C27DE6B00927B7590748DDBC5F8E8C,null,otp@hi.com
chase,0BDFF6FDE38B4D1604C9EA14757AAE941F8A5895B8320DE48F430011ABF1F26D,STAFF,6BA3FF4733F07C030416FCF9DD1AF5C4,null,otp@hi.com
chao,07E828941B3ACACE80F0463290CF983B7496525EC4CD0E1B4E221EE863971E31,STAFF,B77B5A7E5597E7EDD00D1052189C9E22,null,chao@hi.co
eddie,F4E380A25D13127F3B3319F1774E0C040197F76D567A866D79EAE485B1F8CA28,STAFF,6A152EF8C014B8862D130FB95966C46F,null,otp@hi.com
jane,6C7AD2E24AD6E07D6941776EE37D702167FF5473B9EE5E2728DAA8C416F6062A,STAFF,BA522A9BA555BDF6119D2B0BCCFF11C3,null,otp@hi.com
jeff,A32EDC2B935B71DEB4ADB61510BD2D4695353DCD3FCB6ED0DEC235EA0E60345A,STAFF,A800F006CE2EEF971A15FF54C38AFC77,null,otp@hi.com
jim,EEBC279033913C1FA55F9BEF3DB9B3673A4FC5C18C21A19CAA387DC5DAD84786,STAFF,8692BA6757D895EBD577B318C54BE576,null,otp@hi.com
joey,7C943754D122390BB4F088C233DD0D0194C59E6C80D6B75FF80271F68759ED26,STAFF,3E0A6F67D3B9D7E1CF8A119E53DAD1E9,null,otp@hi.com
mark,5B98D10D86289BDA0A1DAE89F504597E18D5D30F9D52CB55B9790402EA13CCD9,STAFF,5C47DA07FA9E737490825A2A0B60BB4D,null,otp@hi.com
mary,6529306D89DAE3643C416356113A938D671FEF4D15B82ED3AB8E71D7B8C5A884,STAFF,59FA113FAAC4EB301C896E52987056FF,null,otp@hi.com
nick,2E6A54BE36084E98A420A2139AFEBCAD36DBCDAA144D69B8467DDA3B4E3A7E8F,STAFF,72CB1FF9D8A4802AB0B80BDBDD2F2F36,null,otp@hi.com
randy,984CFDC7B1F9D2A4FD3C45771A3A06F71B3A77BA96E4F0E8BC3590920AE846BA,STAFF,C263686A21A46A24E9ADBBD90D2C09EA,null,otp@hi.com
